"user.id","campus.organization","survey.month"
9,44,"2008.09"
44,44,"2008.09"
66,44,"2008.09"
6,44,"2008.09"
30,44,"2008.09"
71,44,"2008.09"
46,44,"2008.09"
35,44,"2008.09"
32,44,"2008.09"
28,57,"2008.09"
28,44,"2008.09"
10,44,"2008.09"
20,44,"2008.09"
62,57,"2008.09"
62,44,"2008.09"
4,44,"2008.09"
36,49,"2008.09"
39,25,"2008.09"
39,24,"2008.09"
37,34,"2008.09"
72,26,"2008.09"
63,16,"2008.09"
63,26,"2008.09"
21,26,"2008.09"
21,39,"2008.09"
21,49,"2008.09"
47,25,"2008.09"
47,49,"2008.09"
17,31,"2008.09"
17,25,"2008.09"
17,49,"2008.09"
52,49,"2008.09"
29,36,"2008.09"
29,49,"2008.09"
40,24,"2008.09"
40,53,"2008.09"
40,49,"2008.09"
50,31,"2008.09"
9,33,"2008.09"
9,31,"2008.09"
9,25,"2008.09"
9,38,"2008.09"
9,51,"2008.09"
9,49,"2008.09"
7,39,"2008.09"
7,49,"2008.09"
44,25,"2008.09"
44,24,"2008.09"
44,6,"2008.09"
44,39,"2008.09"
44,49,"2008.09"
67,60,"2008.09"
67,49,"2008.09"
64,39,"2008.09"
6,36,"2008.09"
6,24,"2008.09"
6,53,"2008.09"
6,49,"2008.09"
19,33,"2008.09"
19,34,"2008.09"
19,31,"2008.09"
19,25,"2008.09"
19,40,"2008.09"
19,51,"2008.09"
30,46,"2008.09"
30,51,"2008.09"
30,49,"2008.09"
1,33,"2008.09"
1,38,"2008.09"
1,49,"2008.09"
46,24,"2008.09"
46,51,"2008.09"
35,31,"2008.09"
53,46,"2008.09"
53,36,"2008.09"
14,25,"2008.09"
61,45,"2008.09"
60,24,"2008.09"
60,6,"2008.09"
60,45,"2008.09"
38,46,"2008.09"
38,36,"2008.09"
38,31,"2008.09"
38,49,"2008.09"
28,51,"2008.09"
26,46,"2008.09"
26,6,"2008.09"
10,60,"2008.09"
10,46,"2008.09"
10,31,"2008.09"
10,25,"2008.09"
10,24,"2008.09"
10,49,"2008.09"
22,16,"2008.09"
22,51,"2008.09"
22,49,"2008.09"
65,36,"2008.09"
65,31,"2008.09"
65,25,"2008.09"
65,26,"2008.09"
65,51,"2008.09"
18,60,"2008.09"
18,24,"2008.09"
18,16,"2008.09"
18,6,"2008.09"
56,64,"2008.09"
20,36,"2008.09"
20,25,"2008.09"
58,49,"2008.09"
62,49,"2008.09"
4,38,"2008.09"
4,39,"2008.09"
68,36,"2008.09"
68,49,"2008.09"
42,31,"2008.09"
24,49,"2008.09"
45,31,"2008.09"
45,25,"2008.09"
45,49,"2008.09"
70,49,"2008.09"
23,26,"2008.09"
23,49,"2008.09"
8,31,"2008.09"
8,49,"2008.09"
43,6,"2008.09"
43,49,"2008.09"
13,4,"2008.09"
13,49,"2008.09"
49,6,"2008.09"
49,49,"2008.09"
16,45,"2008.09"
16,49,"2008.09"
36,49,"2008.09"
39,25,"2008.09"
39,24,"2008.09"
37,34,"2008.09"
72,26,"2008.09"
63,16,"2008.09"
63,26,"2008.09"
21,26,"2008.09"
21,39,"2008.09"
21,49,"2008.09"
47,25,"2008.09"
47,49,"2008.09"
17,31,"2008.09"
17,25,"2008.09"
17,49,"2008.09"
52,49,"2008.09"
29,36,"2008.09"
29,49,"2008.09"
40,24,"2008.09"
40,53,"2008.09"
40,49,"2008.09"
50,31,"2008.09"
9,33,"2008.09"
9,31,"2008.09"
9,25,"2008.09"
9,38,"2008.09"
9,51,"2008.09"
9,49,"2008.09"
7,39,"2008.09"
7,49,"2008.09"
44,25,"2008.09"
44,24,"2008.09"
44,6,"2008.09"
44,39,"2008.09"
44,49,"2008.09"
67,60,"2008.09"
67,49,"2008.09"
64,39,"2008.09"
6,36,"2008.09"
6,24,"2008.09"
6,53,"2008.09"
6,49,"2008.09"
19,33,"2008.09"
19,34,"2008.09"
19,31,"2008.09"
19,25,"2008.09"
19,40,"2008.09"
19,51,"2008.09"
30,46,"2008.09"
30,51,"2008.09"
30,49,"2008.09"
1,33,"2008.09"
1,38,"2008.09"
1,49,"2008.09"
46,24,"2008.09"
46,51,"2008.09"
35,31,"2008.09"
53,46,"2008.09"
53,36,"2008.09"
14,25,"2008.09"
61,45,"2008.09"
60,24,"2008.09"
60,6,"2008.09"
60,45,"2008.09"
38,46,"2008.09"
38,36,"2008.09"
38,31,"2008.09"
38,49,"2008.09"
28,51,"2008.09"
26,46,"2008.09"
26,6,"2008.09"
10,60,"2008.09"
10,46,"2008.09"
10,31,"2008.09"
10,25,"2008.09"
10,24,"2008.09"
10,49,"2008.09"
22,16,"2008.09"
22,51,"2008.09"
22,49,"2008.09"
65,36,"2008.09"
65,31,"2008.09"
65,25,"2008.09"
65,26,"2008.09"
65,51,"2008.09"
18,60,"2008.09"
18,24,"2008.09"
18,16,"2008.09"
18,6,"2008.09"
56,64,"2008.09"
20,36,"2008.09"
20,25,"2008.09"
58,49,"2008.09"
62,49,"2008.09"
4,38,"2008.09"
4,39,"2008.09"
68,36,"2008.09"
68,49,"2008.09"
42,31,"2008.09"
24,49,"2008.09"
45,31,"2008.09"
45,25,"2008.09"
45,49,"2008.09"
70,49,"2008.09"
23,26,"2008.09"
23,49,"2008.09"
8,31,"2008.09"
8,49,"2008.09"
43,6,"2008.09"
43,49,"2008.09"
13,4,"2008.09"
13,49,"2008.09"
49,6,"2008.09"
49,49,"2008.09"
16,45,"2008.09"
16,49,"2008.09"
6,7,"2009.03"
6,46,"2009.03"
6,36,"2009.03"
6,53,"2009.03"
6,35,"2009.03"
6,8,"2009.03"
29,36,"2009.03"
29,51,"2009.03"
58,37,"2009.03"
47,25,"2009.03"
47,47,"2009.03"
47,35,"2009.03"
49,7,"2009.03"
65,36,"2009.03"
65,31,"2009.03"
65,25,"2009.03"
65,51,"2009.03"
68,36,"2009.03"
68,41,"2009.03"
9,44,"2009.03"
9,33,"2009.03"
9,31,"2009.03"
9,25,"2009.03"
9,38,"2009.03"
9,51,"2009.03"
5,44,"2009.03"
5,33,"2009.03"
5,34,"2009.03"
5,31,"2009.03"
5,12,"2009.03"
4,44,"2009.03"
4,38,"2009.03"
4,39,"2009.03"
4,15,"2009.03"
72,7,"2009.03"
60,24,"2009.03"
60,6,"2009.03"
60,19,"2009.03"
35,44,"2009.03"
35,31,"2009.03"
35,25,"2009.03"
38,46,"2009.03"
38,36,"2009.03"
38,25,"2009.03"
36,42,"2009.03"
23,7,"2009.03"
23,26,"2009.03"
23,42,"2009.03"
23,8,"2009.03"
16,27,"2009.03"
21,26,"2009.03"
21,71,"2009.03"
76,7,"2009.03"
76,25,"2009.03"
76,24,"2009.03"
14,25,"2009.03"
14,51,"2009.03"
54,60,"2009.03"
54,16,"2009.03"
80,26,"2009.03"
80,47,"2009.03"
80,63,"2009.03"
22,16,"2009.03"
22,1,"2009.03"
64,39,"2009.03"
61,45,"2009.03"
61,43,"2009.03"
56,63,"2009.03"
1,18,"2009.03"
1,54,"2009.03"
71,44,"2009.03"
71,7,"2009.03"
71,36,"2009.03"
71,24,"2009.03"
71,5,"2009.03"
20,44,"2009.03"
20,25,"2009.03"
40,7,"2009.03"
40,25,"2009.03"
40,24,"2009.03"
40,6,"2009.03"
40,26,"2009.03"
40,51,"2009.03"
40,53,"2009.03"
40,8,"2009.03"
40,28,"2009.03"
12,6,"2009.03"
2,33,"2009.03"
2,58,"2009.03"
52,55,"2009.03"
45,44,"2009.03"
45,31,"2009.03"
45,25,"2009.03"
45,51,"2009.03"
45,18,"2009.03"
28,57,"2009.03"
28,51,"2009.03"
37,33,"2009.03"
37,34,"2009.03"
43,7,"2009.03"
43,6,"2009.03"
43,45,"2009.03"
43,15,"2009.03"
62,57,"2009.03"
62,44,"2009.03"
62,7,"2009.03"
62,36,"2009.03"
62,47,"2009.03"
57,71,"2009.03"
75,7,"2009.03"
75,8,"2009.03"
75,62,"2009.03"
77,7,"2009.03"
77,5,"2009.03"
10,44,"2009.03"
10,25,"2009.03"
10,24,"2009.03"
10,23,"2009.03"
46,44,"2009.03"
46,7,"2009.03"
46,24,"2009.03"
46,51,"2009.03"
79,7,"2009.03"
79,36,"2009.03"
79,25,"2009.03"
79,24,"2009.03"
79,26,"2009.03"
79,22,"2009.03"
59,33,"2009.03"
59,18,"2009.03"
26,46,"2009.03"
44,24,"2009.03"
44,6,"2009.03"
44,39,"2009.03"
44,32,"2009.03"
18,60,"2009.03"
18,16,"2009.03"
18,6,"2009.03"
8,31,"2009.03"
8,15,"2009.03"
8,52,"2009.03"
70,44,"2009.03"
70,51,"2009.03"
70,69,"2009.03"
70,1,"2009.03"
7,7,"2009.04"
7,39,"2009.04"
7,15,"2009.04"
7,3,"2009.04"
47,25,"2009.04"
47,47,"2009.04"
47,35,"2009.04"
66,44,"2009.04"
66,33,"2009.04"
66,34,"2009.04"
66,31,"2009.04"
78,57,"2009.04"
78,36,"2009.04"
78,31,"2009.04"
37,34,"2009.04"
63,16,"2009.04"
63,26,"2009.04"
43,7,"2009.04"
43,6,"2009.04"
30,44,"2009.04"
30,31,"2009.04"
30,25,"2009.04"
21,26,"2009.04"
21,71,"2009.04"
29,36,"2009.04"
56,63,"2009.04"
14,25,"2009.04"
40,7,"2009.04"
40,25,"2009.04"
40,24,"2009.04"
40,6,"2009.04"
40,26,"2009.04"
40,51,"2009.04"
40,53,"2009.04"
40,8,"2009.04"
40,68,"2009.04"
23,7,"2009.04"
23,26,"2009.04"
23,42,"2009.04"
23,8,"2009.04"
45,44,"2009.04"
45,25,"2009.04"
45,51,"2009.04"
45,18,"2009.04"
45,11,"2009.04"
57,71,"2009.04"
68,36,"2009.04"
68,56,"2009.04"
77,7,"2009.04"
77,36,"2009.04"
77,5,"2009.04"
6,7,"2009.04"
6,46,"2009.04"
6,36,"2009.04"
6,53,"2009.04"
6,35,"2009.04"
6,8,"2009.04"
54,60,"2009.04"
54,16,"2009.04"
76,7,"2009.04"
76,25,"2009.04"
76,24,"2009.04"
44,44,"2009.04"
44,24,"2009.04"
44,6,"2009.04"
44,39,"2009.04"
44,32,"2009.04"
58,37,"2009.04"
60,24,"2009.04"
60,20,"2009.04"
22,1,"2009.04"
61,45,"2009.04"
61,71,"2009.04"
61,65,"2009.04"
9,44,"2009.04"
9,33,"2009.04"
9,31,"2009.04"
9,25,"2009.04"
9,38,"2009.04"
9,50,"2009.04"
79,7,"2009.04"
79,36,"2009.04"
79,25,"2009.04"
79,24,"2009.04"
79,26,"2009.04"
5,44,"2009.04"
5,33,"2009.04"
5,34,"2009.04"
5,31,"2009.04"
5,14,"2009.04"
71,44,"2009.04"
71,7,"2009.04"
71,24,"2009.04"
71,5,"2009.04"
49,7,"2009.04"
72,21,"2009.04"
59,18,"2009.04"
10,44,"2009.04"
10,60,"2009.04"
10,46,"2009.04"
10,33,"2009.04"
10,25,"2009.04"
10,24,"2009.04"
10,51,"2009.04"
10,23,"2009.04"
75,7,"2009.04"
75,8,"2009.04"
75,61,"2009.04"
70,44,"2009.04"
70,51,"2009.04"
70,69,"2009.04"
70,1,"2009.04"
52,55,"2009.04"
46,44,"2009.04"
46,7,"2009.04"
46,24,"2009.04"
46,51,"2009.04"
2,33,"2009.04"
2,34,"2009.04"
2,59,"2009.04"
4,44,"2009.04"
4,38,"2009.04"
4,39,"2009.04"
62,57,"2009.04"
62,44,"2009.04"
62,7,"2009.04"
62,46,"2009.04"
62,36,"2009.04"
62,47,"2009.04"
64,39,"2009.04"
12,6,"2009.04"
20,44,"2009.04"
20,26,"2009.04"
1,18,"2009.04"
1,54,"2009.04"
8,15,"2009.04"
8,52,"2009.04"
80,26,"2009.04"
80,47,"2009.04"
80,63,"2009.04"
67,30,"2009.04"
65,7,"2009.04"
65,31,"2009.04"
65,25,"2009.04"
65,51,"2009.04"
35,44,"2009.04"
35,33,"2009.04"
35,31,"2009.04"
35,25,"2009.04"
26,46,"2009.04"
7,7,"2009.06"
7,39,"2009.06"
7,15,"2009.06"
7,2,"2009.06"
36,42,"2009.06"
49,7,"2009.06"
6,7,"2009.06"
6,36,"2009.06"
6,25,"2009.06"
6,53,"2009.06"
6,35,"2009.06"
6,8,"2009.06"
43,7,"2009.06"
43,6,"2009.06"
52,55,"2009.06"
29,36,"2009.06"
47,25,"2009.06"
47,47,"2009.06"
47,35,"2009.06"
9,44,"2009.06"
9,31,"2009.06"
9,25,"2009.06"
63,16,"2009.06"
63,26,"2009.06"
37,34,"2009.06"
79,7,"2009.06"
79,36,"2009.06"
79,25,"2009.06"
79,24,"2009.06"
79,26,"2009.06"
79,9,"2009.06"
72,21,"2009.06"
77,7,"2009.06"
77,36,"2009.06"
77,5,"2009.06"
40,7,"2009.06"
40,25,"2009.06"
40,24,"2009.06"
40,6,"2009.06"
40,26,"2009.06"
40,51,"2009.06"
40,8,"2009.06"
45,44,"2009.06"
45,31,"2009.06"
45,25,"2009.06"
45,51,"2009.06"
45,18,"2009.06"
61,45,"2009.06"
61,65,"2009.06"
44,24,"2009.06"
44,6,"2009.06"
44,39,"2009.06"
44,32,"2009.06"
28,57,"2009.06"
62,57,"2009.06"
62,44,"2009.06"
62,7,"2009.06"
62,46,"2009.06"
62,47,"2009.06"
26,46,"2009.06"
60,24,"2009.06"
60,6,"2009.06"
60,20,"2009.06"
22,16,"2009.06"
22,1,"2009.06"
69,31,"2009.06"
64,39,"2009.06"
64,17,"2009.06"
12,6,"2009.06"
67,60,"2009.06"
67,29,"2009.06"
76,7,"2009.06"
76,25,"2009.06"
76,24,"2009.06"
76,10,"2009.06"
70,44,"2009.06"
70,51,"2009.06"
70,69,"2009.06"
70,1,"2009.06"
70,48,"2009.06"
14,25,"2009.06"
14,51,"2009.06"
1,36,"2009.06"
1,38,"2009.06"
1,18,"2009.06"
1,67,"2009.06"
56,63,"2009.06"
57,71,"2009.06"
2,33,"2009.06"
2,59,"2009.06"
35,44,"2009.06"
35,46,"2009.06"
35,33,"2009.06"
35,31,"2009.06"
35,25,"2009.06"
23,7,"2009.06"
23,26,"2009.06"
23,42,"2009.06"
23,8,"2009.06"
59,33,"2009.06"
59,18,"2009.06"
46,44,"2009.06"
46,7,"2009.06"
46,24,"2009.06"
8,31,"2009.06"
8,15,"2009.06"
8,52,"2009.06"
8,66,"2009.06"
4,44,"2009.06"
4,38,"2009.06"
4,39,"2009.06"
80,26,"2009.06"
80,47,"2009.06"
80,63,"2009.06"
54,60,"2009.06"
54,16,"2009.06"
68,36,"2009.06"
68,70,"2009.06"
5,44,"2009.06"
5,33,"2009.06"
5,34,"2009.06"
5,31,"2009.06"
5,13,"2009.06"
75,7,"2009.06"
75,8,"2009.06"
75,61,"2009.06"
10,44,"2009.06"
10,60,"2009.06"
10,46,"2009.06"
10,25,"2009.06"
10,24,"2009.06"
10,51,"2009.06"
10,45,"2009.06"
10,23,"2009.06"
20,44,"2009.06"
58,37,"2009.06"
21,26,"2009.06"
21,71,"2009.06"
48,34,"2009.06"
66,44,"2009.06"
66,33,"2009.06"
66,34,"2009.06"
66,31,"2009.06"
66,25,"2009.06"
65,31,"2009.06"
65,25,"2009.06"
65,51,"2009.06"
71,44,"2009.06"
71,7,"2009.06"
71,46,"2009.06"
71,24,"2009.06"
71,5,"2009.06"
