"user_id","interested_in_politics","preferred_party","likelihood_of_voting","voting_for_today","preferred_party_details","liberal_or_conservative","survey.month","did_vote_in_election","not_voted_preferred_candidate","voted_preferred_candidate","approve_obama_president","approve_congress","approve_obama_economy"
23,"Very interested","Independent",,,"Democratic Party","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
25,"Somewhat interested","Independent",,,"Neither","Slightly liberal","2008.11","I wasn't interested and didn't vote in this election","Would not have voted for any candidate",,,,
60,"Somewhat interested","Democrat",,,"Not very strong Democrat","Moderate middle of the road","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
41,"Slightly interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I wasn't interested and didn't vote in this election","Barack Obama",,,,
24,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
48,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
42,"Very interested","Independent",,,"Democratic Party","Moderate middle of the road","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
18,"Very interested","Democrat",,,"Strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
62,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
4,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
19,"Somewhat interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
38,"Very interested","Independent",,,"Republican Party","Slightly conservative","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
68,"Somewhat interested","Democrat",,,"Strong Democrat","Extremely liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
61,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
22,"Very interested","Republican",,,"Not very strong Republican","Conservative","2008.11","I voted in this presidential election",,"Barack Obama",,,
70,"Slightly interested","Democrat",,,"Not very strong Democrat","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
34,"Somewhat interested","Independent",,,"Democratic Party","Slightly liberal","2008.11","I wanted to vote but could not due to logistical reason","Barack Obama",,,,
44,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
46,"Somewhat interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
54,"Very interested","Independent",,,"Democratic Party","Moderate middle of the road","2008.11","I was not eligible to vote  ","Barack Obama",,,,
43,"Slightly interested","Independent",,,"Neither","Liberal","2008.11","I was not eligible to vote  ","Barack Obama",,,,
35,"Very interested","Democrat",,,"Not very strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
8,"Somewhat interested","Democrat",,,"Not very strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
72,"Very interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
5,"Somewhat interested","Independent",,,"Democratic Party","Liberal","2008.11","I thought about voting- but didn't","Barack Obama",,,,
58,"Slightly interested","Democrat",,,"Strong Democrat","Slightly liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
56,"Very interested","Democrat",,,"Strong Democrat","Liberal","2008.11","I voted in this presidential election",,"Barack Obama",,,
71,"Not at all interested",,,,,,"2008.12",,,,,,
47,"Very interested",,,,,,"2008.12",,,,,,
9,"Very interested",,,,,,"2008.12",,,,,,
56,"Somewhat interested",,,,,,"2008.12",,,,,,
6,"Very interested",,,,,,"2008.12",,,,,,
59,"Somewhat interested",,,,,,"2008.12",,,,,,
55,"Very interested",,,,,,"2008.12",,,,,,
29,"Slightly interested",,,,,,"2008.12",,,,,,
7,"Somewhat interested",,,,,,"2008.12",,,,,,
25,"Somewhat interested",,,,,,"2008.12",,,,,,
36,"Slightly interested",,,,,,"2008.12",,,,,,
31,"Somewhat interested",,,,,,"2008.12",,,,,,
26,"Slightly interested",,,,,,"2008.12",,,,,,
72,"Very interested",,,,,,"2008.12",,,,,,
30,"Somewhat interested",,,,,,"2008.12",,,,,,
51,"Slightly interested",,,,,,"2008.12",,,,,,
63,"Very interested",,,,,,"2008.12",,,,,,
27,"Slightly interested",,,,,,"2008.12",,,,,,
21,"Somewhat interested",,,,,,"2008.12",,,,,,
43,"Slightly interested",,,,,,"2008.12",,,,,,
4,"Somewhat interested",,,,,,"2008.12",,,,,,
69,"Not at all interested",,,,,,"2008.12",,,,,,
15,"Somewhat interested",,,,,,"2008.12",,,,,,
16,"Somewhat interested",,,,,,"2008.12",,,,,,
11,"Not at all interested",,,,,,"2008.12",,,,,,
37,"Slightly interested",,,,,,"2008.12",,,,,,
1,"Somewhat interested",,,,,,"2008.12",,,,,,
49,"Not at all interested",,,,,,"2008.12",,,,,,
12,"Slightly interested",,,,,,"2008.12",,,,,,
64,"Somewhat interested",,,,,,"2008.12",,,,,,
35,"Very interested",,,,,,"2008.12",,,,,,
38,"Very interested",,,,,,"2008.12",,,,,,
22,"Very interested",,,,,,"2008.12",,,,,,
48,"Somewhat interested",,,,,,"2008.12",,,,,,
40,"Slightly interested",,,,,,"2008.12",,,,,,
41,"Slightly interested",,,,,,"2008.12",,,,,,
66,"Slightly interested",,,,,,"2008.12",,,,,,
62,"Slightly interested",,,,,,"2008.12",,,,,,
44,"Somewhat interested",,,,,,"2008.12",,,,,,
61,"Somewhat interested",,,,,,"2008.12",,,,,,
57,"Not at all interested",,,,,,"2008.12",,,,,,
32,"Slightly interested",,,,,,"2008.12",,,,,,
14,"Slightly interested",,,,,,"2008.12",,,,,,
54,"Very interested",,,,,,"2008.12",,,,,,
68,"Very interested",,,,,,"2008.12",,,,,,
67,"Very interested",,,,,,"2008.12",,,,,,
8,"Somewhat interested",,,,,,"2008.12",,,,,,
18,"Somewhat interested",,,,,,"2008.12",,,,,,
20,"Very interested",,,,,,"2008.12",,,,,,
2,"Slightly interested",,,,,,"2008.12",,,,,,
10,"Slightly interested",,,,,,"2008.12",,,,,,
60,"Slightly interested",,,,,,"2008.12",,,,,,
45,"Somewhat interested",,,,,,"2008.12",,,,,,
34,"Slightly interested",,,,,,"2008.12",,,,,,
46,"Somewhat interested",,,,,,"2008.12",,,,,,
52,"Somewhat interested",,,,,,"2008.12",,,,,,
28,"Slightly interested",,,,,,"2008.12",,,,,,
33,"Slightly interested",,,,,,"2008.12",,,,,,
24,"Somewhat interested",,,,,,"2008.12",,,,,,
58,"Slightly interested",,,,,,"2008.12",,,,,,
23,"Somewhat interested",,,,,,"2008.12",,,,,,
70,"Slightly interested",,,,,,"2008.12",,,,,,
3,"Slightly interested",,,,,,"2008.12",,,,,,
5,"Somewhat interested",,,,,,"2008.12",,,,,,
42,"Very interested",,,,,,"2008.12",,,,,,
65,"Very interested",,,,,,"2008.12",,,,,,
55,"Very interested",,,,,,"2009.03",,,,"Strongly Disapprove","Strongly Disapprove","Slightly Disapprove"
6,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Don't Know","Slightly Approve"
29,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
58,"Slightly interested",,,,,,"2009.03",,,,"Strongly Approve","Don't Know","Strongly Approve"
47,"Very interested",,,,,,"2009.03",,,,"Slightly Disapprove","Strongly Disapprove","Slightly Disapprove"
49,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
65,"Very interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
68,"Somewhat interested",,,,,,"2009.03",,,,"Don't Know","Slightly Disapprove","Don't Know"
9,"Very interested",,,,,,"2009.03",,,,"Strongly Approve","Strongly Disapprove","Strongly Approve"
11,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
5,"Somewhat interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
4,"Somewhat interested",,,,,,"2009.03",,,,"Strongly Approve","Don't Know","Don't Know"
72,"Very interested",,,,,,"2009.03",,,,"Strongly Approve","Slightly Disapprove","Strongly Disapprove"
60,"Slightly interested",,,,,,"2009.03",,,,"Strongly Approve","Slightly Approve","Strongly Approve"
35,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Don't Know","Slightly Approve"
38,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Disapprove","Don't Know"
36,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
15,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Don't Know","Don't Know"
31,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
23,"Very interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
16,"Slightly interested",,,,,,"2009.03",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
33,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
21,"Somewhat interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
76,"Very interested",,,,,,"2009.03",,,,"Don't Know","Slightly Approve","Don't Know"
14,"Slightly interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
54,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
80,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
42,"Very interested",,,,,,"2009.03",,,,"Slightly Approve","Don't Know","Slightly Approve"
22,"Very interested",,,,,,"2009.03",,,,"Strongly Approve","Slightly Disapprove","Slightly Disapprove"
64,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Approve","Slightly Disapprove"
61,"Somewhat interested",,,,,,"2009.03",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
56,"Very interested",,,,,,"2009.03",,,,"Strongly Approve","Slightly Disapprove","Strongly Approve"
1,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Slightly Disapprove"
71,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
20,"Very interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Disapprove","Slightly Approve"
69,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
67,"Very interested",,,,,,"2009.03",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
40,"Slightly interested",,,,,,"2009.03",,,,"Slightly Approve","Don't Know","Slightly Approve"
34,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Slightly Disapprove","Don't Know"
12,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
2,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
24,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
52,"Somewhat interested",,,,,,"2009.03",,,,"Strongly Approve","Don't Know","Strongly Approve"
45,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
28,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Strongly Disapprove","Slightly Disapprove"
37,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
43,"Somewhat interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
62,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
57,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
75,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
77,"Not at all interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
48,"Somewhat interested",,,,,,"2009.03",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
10,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
46,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
79,"Very interested",,,,,,"2009.03",,,,"Slightly Disapprove","Slightly Disapprove","Strongly Disapprove"
59,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
26,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
44,"Somewhat interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
18,"Somewhat interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
8,"Somewhat interested",,,,,,"2009.03",,,,"Slightly Approve","Slightly Disapprove","Slightly Disapprove"
70,"Slightly interested",,,,,,"2009.03",,,,"Don't Know","Don't Know","Don't Know"
7,"Somewhat interested",,,,,,"2009.04",,,,"Slightly Approve","Don't Know","Strongly Approve"
47,"Very interested",,,,,,"2009.04",,,,"Slightly Disapprove","Strongly Disapprove","Slightly Disapprove"
66,"Somewhat interested",,,,,,"2009.04",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
78,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
31,"Somewhat interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Approve","Strongly Approve"
37,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
63,"No Answer",,,,,,"2009.04",,,,"No Answer","No Answer","No Answer"
43,"Somewhat interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
30,"Very interested",,,,,,"2009.04",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
21,"Somewhat interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
29,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
56,"Somewhat interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Approve","Strongly Approve"
14,"Slightly interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
11,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
40,"Slightly interested",,,,,,"2009.04",,,,"Slightly Approve","Don't Know","Don't Know"
27,"Not at all interested",,,,,,"2009.04",,,,"Strongly Approve","Slightly Approve","Strongly Approve"
23,"Very interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
45,"Slightly interested",,,,,,"2009.04",,,,"Slightly Approve","Don't Know","Don't Know"
57,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
68,"Somewhat interested",,,,,,"2009.04",,,,"Don't Know","Slightly Disapprove","Slightly Disapprove"
77,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
6,"Somewhat interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
54,"Somewhat interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Disapprove","Slightly Approve"
69,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
76,"Very interested",,,,,,"2009.04",,,,"Slightly Approve","Don't Know","Slightly Approve"
44,"Somewhat interested",,,,,,"2009.04",,,,"Slightly Approve","Don't Know","Don't Know"
58,"Not at all interested",,,,,,"2009.04",,,,"Strongly Approve","Don't Know","Strongly Approve"
60,"Slightly interested",,,,,,"2009.04",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
22,"Somewhat interested",,,,,,"2009.04",,,,"Strongly Approve","Don't Know","Don't Know"
61,"Somewhat interested",,,,,,"2009.04",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
9,"Very interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Disapprove","Strongly Approve"
79,"Very interested",,,,,,"2009.04",,,,"Slightly Disapprove","Strongly Disapprove","Slightly Disapprove"
5,"Somewhat interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
28,"Slightly interested",,,,,,"2009.04",,,,"Strongly Approve","Don't Know","Slightly Disapprove"
71,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
24,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
15,"Slightly interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
49,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
72,"Very interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Disapprove","Strongly Disapprove"
55,"Very interested",,,,,,"2009.04",,,,"Slightly Disapprove","Strongly Disapprove","Strongly Disapprove"
59,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
10,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
75,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
33,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
70,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
52,"Slightly interested",,,,,,"2009.04",,,,"Strongly Approve","Don't Know","Strongly Approve"
46,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
48,"Very interested",,,,,,"2009.04",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
2,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
4,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
62,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Slightly Approve"
64,"Somewhat interested",,,,,,"2009.04",,,,"Slightly Approve","Don't Know","Slightly Disapprove"
12,"Not at all interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
20,"Very interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Disapprove","Slightly Approve"
1,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Slightly Disapprove","Don't Know"
8,"Somewhat interested",,,,,,"2009.04",,,,"Slightly Disapprove","Slightly Disapprove","Slightly Approve"
42,"Somewhat interested",,,,,,"2009.04",,,,"Slightly Disapprove","Don't Know","Slightly Approve"
80,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
67,"Very interested",,,,,,"2009.04",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
65,"Very interested",,,,,,"2009.04",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
34,"Slightly interested",,,,,,"2009.04",,,,"Don't Know","Slightly Disapprove","Don't Know"
35,"Somewhat interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Slightly Approve"
26,"Somewhat interested",,,,,,"2009.04",,,,"Don't Know","Don't Know","Don't Know"
7,"Somewhat interested",,,,,,"2009.06",,,,"Strongly Approve","Don't Know","Strongly Approve"
36,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
49,"Slightly interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
6,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Approve","Don't Know","Slightly Approve"
11,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
43,"Somewhat interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
52,"Slightly interested",,,,,,"2009.06",,,,"Strongly Approve","Don't Know","Strongly Approve"
29,"Slightly interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
47,"Very interested",,,,,,"2009.06",,,,"Slightly Disapprove","Strongly Disapprove","Strongly Disapprove"
9,"Very interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Disapprove","Slightly Approve"
63,"No Answer",,,,,,"2009.06",,,,"No Answer","No Answer","No Answer"
37,"Slightly interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
79,"Very interested",,,,,,"2009.06",,,,"Slightly Disapprove","Slightly Disapprove","Slightly Disapprove"
72,"Very interested",,,,,,"2009.06",,,,"Slightly Approve","Strongly Disapprove","Strongly Disapprove"
77,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
27,"Not at all interested",,,,,,"2009.06",,,,"Strongly Approve","Slightly Disapprove","Slightly Approve"
40,"Slightly interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
31,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
45,"Slightly interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
61,"Somewhat interested",,,,,,"2009.06",,,,"Strongly Approve","Slightly Approve","Slightly Approve"
44,"Somewhat interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
28,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Disapprove","Don't Know","Don't Know"
62,"Not at all interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Disapprove","Don't Know"
26,"Slightly interested",,,,,,"2009.06",,,,"Slightly Approve","Don't Know","Don't Know"
60,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
22,"Somewhat interested",,,,,,"2009.06",,,,"Strongly Approve","Don't Know","Don't Know"
69,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
64,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Approve","Don't Know","Don't Know"
33,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
12,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
67,"Very interested",,,,,,"2009.06",,,,"Strongly Approve","Slightly Approve","Strongly Approve"
34,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Slightly Disapprove","Don't Know"
76,"Very interested",,,,,,"2009.06",,,,"Slightly Approve","Don't Know","Slightly Approve"
70,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
14,"Slightly interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
1,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Approve","Don't Know","Slightly Approve"
56,"Very interested",,,,,,"2009.06",,,,"Strongly Approve","Don't Know","Strongly Approve"
15,"Slightly interested",,,,,,"2009.06",,,,"Slightly Approve","Don't Know","Slightly Approve"
57,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
2,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
35,"Somewhat interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Slightly Approve"
23,"Very interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
59,"Slightly interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
46,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
8,"Slightly interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Disapprove","Slightly Disapprove"
42,"No Answer",,,,,,"2009.06",,,,"Don't Know","Slightly Disapprove","Don't Know"
4,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Approve","Don't Know","Slightly Approve"
80,"Slightly interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
54,"Very interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Disapprove","Slightly Approve"
68,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Disapprove","Don't Know"
5,"Somewhat interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
75,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
10,"Slightly interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
20,"Very interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
58,"Slightly interested",,,,,,"2009.06",,,,"Strongly Approve","Don't Know","Strongly Approve"
21,"Somewhat interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
48,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
24,"Somewhat interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
66,"Somewhat interested",,,,,,"2009.06",,,,"Slightly Approve","Slightly Approve","Slightly Approve"
65,"Very interested",,,,,,"2009.06",,,,"Slightly Approve","Don't Know","Slightly Approve"
71,"Not at all interested",,,,,,"2009.06",,,,"Don't Know","Don't Know","Don't Know"
